id_venta,fecha,id_cliente,id_producto,nombre_producto,categoria,cantidad,precio_unitario,total,pais
104,07/04/2024,C061,P059,Mouse Inalámbrico,Electronica,N/A,132.79,132.79,Ecuador
105,15/01/2024,C023,P010,Cuaderno Universitario,Utiles,3,131.52,394.56,Peru
106,21/04/2024,C092,P084,"Monitor LED 24""",Electronica,4,9.86,39.44,Peru
107,03/04/2024,C071,P053,Audífonos Bluetooth,Electronica,4,56.56,226.24,Ecuador
108,01/01/2024,C090,P036,Audífonos Bluetooth,Electronica,3,177.22,531.66,Chile
109,29/02/2024,C081,P107,Marcadores Permanentes,Utiles,3,144.66,433.98,Peru
110,18/04/2024,C045,P113,Marcadores Permanentes,,3,8.7,,Colombia
111,24/03/2024,C120,P068,"Monitor LED 24""",Electronica,,54.32,162.96,Peru
112,14/04/2024,C012,P027,Memoria USB 64GB,Electronica,2,113.51,227.02,Peru
113,01/01/2024,C044,P102,Disco Duro Externo 1TB,Electronica,2,45.13,90.26,Ecuador
114,29/03/2024,C028,P022,Organizador de Escritorio,Oficina,3,80.23,240.69,Ecuador
115,23/01/2024,C042,P006,Carpeta Plástica,Utiles,1,18.51,18.51,Colombia
116,18/04/2024,C042,P109,Calculadora Científica,Oficina,,125.33,250.66,Colombia
117,13/01/2024,C023,P078,Silla Ergonómica,Oficina,2,67.03,134.06,Peru
118,11/02/2024,C028,P053,Audífonos Bluetooth,,3,56.56,169.68,Chile
119,05/04/2024,C119,P050,Archivador Metálico,Oficina,3,32.07,96.21,Ecuador
120,11/02/2024,C030,P032,Teclado Mecánico,Electronica,3,156.52,469.56,Peru
121,08/04/2024,C112,P106,"Monitor LED 24""",Electronica,4,51.49,205.96,Colombia
122,25/04/2024,C118,P011,Silla Ergonómica,Oficina,5,35.19,175.95,Chile
123,24/01/2024,C093,P059,Mouse Inalámbrico,Electronica,2,132.79,265.58,Chile
124,26/04/2024,C063,P007,"Monitor LED 24""",Electronica,4,140.31,561.24,Ecuador
125,03/03/2024,C116,P116,Audífonos Bluetooth,Electronica,5,188.6,943,Colombia
126,26/04/2024,C016,P105,Memoria USB 64GB,Electronica,5,105.36,526.8,Ecuador
127,09/02/2024,C067,P093,Regla 30cm,Utiles,1,135.27,135.27,Colombia
128,21/03/2024,C114,P093,Regla 30cm,Utiles,1,135.27,135.27,Ecuador
129,12/01/2024,C074,P112,Audífonos Bluetooth,Electronica,4,73.37,293.48,Chile
130,20/04/2024,C051,P047,Memoria USB 64GB,Electronica,5,160.07,800.35,Chile
131,24/01/2024,C073,P063,Escritorio Ajustable,Oficina,3,143.45,430.35,Peru
132,08/02/2024,C009,P082,Cámara Web HD,,2,96.82,,Colombia
133,24/03/2024,C041,P021,Disco Duro Externo 1TB,Electronica,4,61.94,247.76,Peru
134,20/02/2024,C069,P099,Teclado Mecánico,Electronica,3,20.51,61.53,Ecuador
135,06/03/2024,C007,P048,Organizador de Escritorio,Oficina,N/A,155.69,778.45,Ecuador
136,23/04/2024,C031,P083,Carpeta Plástica,Utiles,2,175.75,351.5,Chile
137,07/02/2024,C066,P044,Escritorio Ajustable,Oficina,4,196.77,787.08,Colombia
138,01/03/2024,C036,P085,Carpeta Plástica,Utiles,5,13.2,66,Colombia
139,10/02/2024,C041,P088,Disco Duro Externo 1TB,Electronica,5,80.15,400.75,Chile
140,06/04/2024,C030,P069,Regla 30cm,Utiles,4,66.16,264.64,Peru
141,10/03/2024,C068,P027,Memoria USB 64GB,Electronica,2,113.51,227.02,Colombia
142,03/02/2024,C107,P013,Cámara Web HD,Electronica,2,36.41,72.82,Chile
143,09/03/2024,C035,P055,Carpeta Plástica,Utiles,5,55.15,275.75,Colombia
144,12/01/2024,C111,P065,Cuaderno Universitario,Utiles,3,159.19,477.57,Ecuador
145,13/03/2024,C009,P109,Calculadora Científica,Oficina,,125.33,375.99,Colombia
146,30/03/2024,C002,P069,Regla 30cm,Utiles,2,66.16,132.32,Colombia
147,30/03/2024,C054,P082,Cámara Web HD,Electronica,4,96.82,387.28,Chile
148,29/03/2024,C024,P034,Regla 30cm,Utiles,5,180.25,901.25,Chile
149,01/04/2024,C038,P025,Silla Ergonómica,Oficina,1,100.85,100.85,Chile
150,24/04/2024,C086,P054,Escritorio Ajustable,Oficina,2,171.08,342.16,Peru
151,03/03/2024,C037,P120,Carpeta Plástica,Utiles,4,108.24,432.96,Colombia
152,02/02/2024,C048,P008,Calculadora Científica,Oficina,3,125.1,375.3,Peru
153,06/03/2024,C008,P068,"Monitor LED 24""",Electronica,4,54.32,217.28,Peru
154,24/04/2024,C030,P087,Carpeta Plástica,Utiles,2,93.92,,Colombia
155,24/03/2024,C102,P014,Marcadores Permanentes,Utiles,3,83.26,249.78,Colombia
156,23/01/2024,C041,P022,Organizador de Escritorio,Oficina,5,80.23,401.15,Ecuador
157,18/04/2024,C087,P005,Audífonos Bluetooth,Electronica,1,7.75,7.75,Chile
158,17/03/2024,C024,P106,"Monitor LED 24""",Electronica,5,51.49,257.45,Colombia
159,15/04/2024,C039,P051,Marcadores Permanentes,Utiles,4,32.17,128.68,Chile
160,22/01/2024,C019,P101,Carpeta Plástica,Utiles,error,196.69,196.69,Colombia
