id_venta,fecha,id_cliente,id_producto,nombre_producto,categoria,cantidad,precio_unitario,total,pais
149,2024-04-01,C038,P025,Silla Ergonómica,Oficina,1,100.85,100.85,Chile
150,2024-04-24,C086,P054,Escritorio Ajustable,Oficina,2,171.08,342.16,Peru
151,2024-03-03,C037,P120,Carpeta Plástica,Utiles,4,108.24,432.96,Colombia
152,2024-02-02,C048,P008,Calculadora Científica,Oficina,3,125.1,375.29999999999995,Peru
153,2024-03-06,C008,P068,"Monitor LED 24""",Electronica,4,54.32,217.28,Peru
154,2024-04-24,C030,P087,Carpeta Plástica,Utiles,2,93.92,,Colombia
155,2024-03-24,C102,P014,Marcadores Permanentes,Utiles,3,83.26,249.78000000000003,Colombia
156,2024-01-23,C041,P022,Organizador de Escritorio,Oficina,5,80.23,401.15000000000003,Ecuador
157,2024-04-18,C087,P005,Audífonos Bluetooth,Electronica,1,7.75,7.75,Chile
158,2024-03-17,C024,P106,"Monitor LED 24""",Electronica,5,51.49,257.45,Colombia
159,2024-04-15,C039,P051,Marcadores Permanentes,Utiles,4,32.17,128.68,Chile
160,2024-01-22,C019,P101,Carpeta Plástica,Utiles,1,196.69,196.69,Colombia
